,Player,FPTS,value,pos
476,Nathan Peterman,9.0,-272.69166666666666,qb
477,Chase Daniel,8.9,-272.7916666666667,qb
478,Matt Barkley,8.8,-272.89166666666665,qb
479,Davis Webb,7.8,-273.89166666666665,qb
480,Jake Rudock,7.3,-274.39166666666665,qb
481,Colt McCoy,6.9,-274.7916666666667,qb
482,Brett Hundley,6.1,-275.59166666666664,qb
483,Paxton Lynch,6.0,-275.69166666666666,qb
484,C.J. Beathard,5.9,-275.7916666666667,qb
485,Austin Davis,5.7,-275.9916666666667,qb
486,Cooper Rush,5.6,-276.09166666666664,qb
487,Trevor Siemian,5.4,-276.2916666666667,qb
488,Ryan Griffin,5.2,-276.4916666666667,qb
489,Brock Osweiler,5.1,-276.59166666666664,qb
490,Cody Kessler,5.1,-276.59166666666664,qb
491,Tom Savage,4.7,-276.9916666666667,qb
492,Brian Hoyer,4.2,-277.4916666666667,qb
493,Chad Henne,4.2,-277.4916666666667,qb
494,DeShone Kizer,3.8,-277.89166666666665,qb
495,Sean Mannion,3.7,-277.9916666666667,qb
496,Mason Rudolph,3.6,-278.09166666666664,qb
497,Matt Schaub,3.6,-278.09166666666664,qb
498,Geno Smith,3.3,-278.39166666666665,qb
499,EJ Manuel,3.2,-278.4916666666667,qb
500,Taylor Heinicke,3.2,-278.4916666666667,qb
501,Matt Cassel,0.5,-281.19166666666666,qb
502,Mike White,0.5,-281.19166666666666,qb
503,Kevin Hogan,0.5,-281.19166666666666,qb
504,Robert Griffin,0.4,-281.2916666666667,qb
505,Tanner Lee,0.1,-281.59166666666664,qb
506,Logan Woodside,0.1,-281.59166666666664,qb
507,Luke Falk,0.1,-281.59166666666664,qb
508,Kyle Lauletta,0.1,-281.59166666666664,qb
509,Garrett Gilbert,0.1,-281.59166666666664,qb
510,Danny Etling,0.1,-281.59166666666664,qb
511,Alex McGough,0.1,-281.59166666666664,qb
512,Joe Callahan,0.0,-281.69166666666666,qb
513,Joe Webb,0.0,-281.69166666666666,qb
514,Bryce Petty,0.0,-281.69166666666666,qb
515,Mike Glennon,0.0,-281.69166666666666,qb
516,Matt McGloin,0.0,-281.69166666666666,qb
517,Nate Sudfeld,0.0,-281.69166666666666,qb
518,Drew Stanton,0.0,-281.69166666666666,qb
519,Alex Tanney,0.0,-281.69166666666666,qb
520,Jameill Showers,0.0,-281.69166666666666,qb
521,Taysom Hill,0.0,-281.69166666666666,qb
522,Cardale Jones,0.0,-281.69166666666666,qb
523,Tyler Bray,0.0,-281.69166666666666,qb
