"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Darius Jennings","TEN","5.9","71.0","0.5","0.0","0.0","0.0","0.0","9.8"
"Lucky Whitehead","NYJ","5.9","67.4","0.4","0.4","2.9","0.0","0.0","9.4"
"Braxton Berrios","NE","5.0","70.0","0.4","0.0","0.0","0.0","0.0","9.4"
"Jake Lampman","TB","5.7","72.1","0.4","0.0","0.0","0.0","0.0","9.4"
"Seantavius Jones","IND","5.5","67.5","0.4","0.0","0.0","0.0","0.0","9.2"
"Kendrick Bourne","SF","6.6","87.8","0.1","0.0","0.0","0.0","0.1","9.2"
"Cody Core","CIN","8.4","86.6","0.1","0.0","0.0","0.0","0.1","9.1"
"Austin Carr","NO","5.0","67.0","0.4","0.0","0.0","0.0","0.0","9.1"
"Leonte Carroo","MIA","7.1","82.8","0.2","0.0","0.0","0.0","0.1","9.1"
"DeVier Posey","BAL","5.4","68.0","0.4","0.0","0.0","0.0","0.0","9.1"
"Josh Huff","NO","6.4","70.2","0.3","0.0","0.0","0.0","0.0","9.1"
"Jace Billingsley","DET","5.5","70.9","0.3","0.0","0.0","0.0","0.0","8.8"
"Byron Marshall","WAS","5.5","67.1","0.4","0.0","0.0","0.0","0.0","8.8"
"Marquez Valdes-Scantling","GB","5.0","58.0","0.5","0.0","0.0","0.0","0.0","8.8"
"Jaydon Mickens","JAC","4.0","50.6","0.8","0.0","0.0","0.0","0.7","8.7"
"Daniel Braverman","KC","5.0","57.5","0.5","0.0","0.0","0.0","0.0","8.7"
"Geremy Davis","LAC","4.7","64.2","0.4","0.0","0.0","0.0","0.0","8.7"
"Marlon Brown","CHI","5.5","68.3","0.3","0.0","0.0","0.0","0.0","8.6"
"Richie James","SF","5.0","69.0","0.3","0.0","0.0","0.0","0.1","8.5"
"Rashad Greene","JAC","5.9","66.4","0.3","0.0","0.0","0.0","0.0","8.5"
"Rashad Ross","ARI","5.8","69.7","0.2","0.0","0.0","0.0","0.0","8.4"
"Alex Erickson","CIN","6.1","77.5","0.2","0.1","0.4","0.0","0.4","8.2"
"Equanimeous St. Brown","GB","5.5","67.0","0.3","0.0","0.0","0.0","0.0","8.2"
"Dylan Cantrell","LAC","4.0","64.0","0.3","0.0","0.0","0.0","0.0","8.2"
"DeAndrew White","HOU","4.4","64.7","0.3","0.0","0.0","0.0","0.1","8.1"
"Jarius Wright","CAR","5.5","63.5","0.3","0.0","0.0","0.0","0.1","8.1"
"Justin Watson","TB","5.0","64.0","0.3","0.0","0.0","0.0","0.1","8.0"
"Reggie Davis","ATL","4.0","62.0","0.3","0.0","0.0","0.0","0.0","8.0"
"Russell Gage","ATL","4.0","62.0","0.3","0.0","0.0","0.0","0.0","8.0"
"Charone Peake","NYJ","6.7","65.4","0.3","0.0","0.1","0.0","0.1","8.0"
"Maurice Harris","WAS","4.8","63.0","0.3","0.0","0.0","0.0","0.1","7.9"
"Trey Quinn","WAS","5.0","63.0","0.3","0.0","0.0","0.0","0.1","7.9"
"Nick Williams","TEN","6.0","69.0","0.2","0.0","0.0","0.0","0.1","7.9"
"Andy Jones","DET","4.8","62.9","0.3","0.0","0.0","0.0","0.1","7.9"
"De'Anthony Thomas","KC","5.3","47.4","0.5","0.1","1.8","0.0","0.0","7.8"
"Marquis Bundy","NYG","5.0","63.2","0.3","0.0","0.0","0.0","0.0","7.8"
"Damion Ratley","CLE","5.0","62.0","0.3","0.0","0.0","0.0","0.1","7.8"
"Markus Wheaton","PHI","4.2","58.5","0.4","0.0","0.0","0.0","0.1","7.7"
"Krishawn Hogan","IND","5.3","63.8","0.2","0.0","0.0","0.0","0.0","7.6"
"Tanner McEvoy","SEA","4.8","64.6","0.4","0.0","0.0","0.0","0.5","7.6"
"Tommylee Lewis","NO","5.1","58.2","0.4","0.7","2.7","0.0","0.6","7.5"
"Victor Bolden Jr.","SF","4.1","52.5","0.4","0.0","0.0","0.0","0.0","7.5"
"Demarcus Ayers","CHI","4.6","57.5","0.3","0.0","0.0","0.0","0.0","7.4"
"Trevor Davis","GB","5.4","66.4","0.2","0.6","2.2","0.0","0.3","7.3"
"Marvin Hall","ATL","3.8","56.9","0.3","0.0","0.0","0.0","0.0","7.2"
"Marcell Ateman","OAK","4.0","56.0","0.3","0.0","0.0","0.0","0.1","7.2"
"Freddie Martino","TB","4.5","64.9","0.1","0.0","0.2","0.0","0.1","7.1"
"Bradley Marquez","DET","4.9","59.0","0.2","0.0","0.0","0.0","0.0","7.1"
"Shane Wynn","JAC","3.8","52.7","0.3","0.0","0.0","0.0","0.1","7.1"
"Chris Thompson","WAS","4.1","58.0","0.2","0.0","0.1","0.0","0.1","7.0"
"Max McCaffrey","SF","5.8","58.4","0.2","0.0","0.0","0.0","0.1","7.0"
"Tanner Gentry","CHI","4.8","56.2","0.2","0.0","0.0","0.0","0.1","6.9"
"K.J. Brent","IND","4.0","50.9","0.3","0.0","0.0","0.0","0.0","6.7"
"Auden Tate","CIN","4.0","50.0","0.3","0.0","0.0","0.0","0.1","6.6"
"Stacy Coley","MIN","3.9","46.0","0.3","0.0","0.0","0.0","0.0","6.3"
"Javon Wims","CHI","4.0","53.0","0.2","0.0","0.0","0.0","0.1","6.3"
"J.D. McKissic","SEA","7.0","48.0","0.3","0.0","0.0","0.0","0.2","6.2"
"Marcus Johnson","SEA","5.1","54.6","0.2","0.0","0.0","0.0","0.2","6.2"
"Dwayne Harris","OAK","3.0","41.6","0.5","0.0","0.0","0.0","0.4","6.2"
"Isaac Whitney","OAK","4.4","52.5","0.2","0.0","0.0","0.0","0.0","6.1"
"Michael Clark","GB","4.9","57.2","0.1","0.0","0.0","0.0","0.0","6.1"
"Jehu Chesson","KC","4.6","53.4","0.1","0.0","0.0","0.0","0.0","6.1"
"Charles Johnson","NYJ","5.0","60.0","0.0","0.0","0.0","0.0","0.1","5.8"
"Austin Proehl","BUF","4.0","45.0","0.2","0.0","0.0","0.0","0.0","5.7"
"Brandon Reilly","BUF","4.0","45.0","0.2","0.0","0.0","0.0","0.0","5.7"
"Ray-Ray McCloud","BUF","4.0","45.0","0.2","0.0","0.0","0.0","0.0","5.7"
"Shelton Gibson","PHI","4.3","50.8","0.1","0.0","0.0","0.0","0.1","5.6"
"Aaron Burbridge","SF","4.0","52.0","0.2","0.0","0.0","0.0","0.3","5.6"
"Noah Brown","DAL","4.4","44.1","0.2","0.0","0.0","0.0","0.1","5.6"
"JoJo Natson","LAR","4.0","45.0","0.2","0.0","0.0","0.0","0.1","5.5"
"Kaelin Clay","BUF","4.7","60.9","0.1","0.2","1.5","0.0","0.6","5.4"
"Josh Malone","CIN","4.0","44.9","0.2","0.5","1.8","0.0","0.1","5.4"
"Griff Whalen","OAK","5.2","46.5","0.1","0.0","0.0","0.0","0.0","5.3"
"Bryce Treggs","PHI","2.4","33.7","0.2","0.3","1.8","0.0","0.0","4.6"
"Cedrick Wilson","DAL","2.0","32.0","0.2","0.0","0.0","0.0","0.0","4.4"
"Jeff Janis","CLE","3.3","38.4","0.1","0.0","0.0","0.0","0.1","4.3"
"Kalif Raymond","NYG","3.2","37.4","0.2","0.1","0.7","0.0","0.5","3.8"
"Vince Mayle","BAL","2.3","30.4","0.1","0.1","0.4","0.0","0.1","3.5"
"Ricardo Louis","CLE","2.5","31.0","0.0","0.0","0.0","0.0","0.1","2.9"
"Andre Roberts","NYJ","3.0","33.0","0.1","0.0","0.0","0.0","0.7","2.5"
""
""
